theta,model,comfort_n,stress_n,rmse,r2
0.19000000000000003,B_pure_ar,3243,759,0.3510680459939737,0.7172543660619999
0.19000000000000003,C_enhanced,3243,759,0.3548260724867128,0.7111686357312764
0.20000000000000004,A_baseline,3297,705,0.3674782567246201,0.6902034348227182
0.20000000000000004,B_pure_ar,3297,705,0.34943934674826405,0.7198717469176672
0.20000000000000004,C_enhanced,3297,705,0.35595321959437803,0.7093307069833461
0.21000000000000005,A_baseline,3318,684,0.3674756625467184,0.6902078087662209
0.21000000000000005,B_pure_ar,3318,684,0.349862669173418,0.719192622479069
0.21000000000000005,C_enhanced,3318,684,0.3563004661727396,0.7087633113571278
0.22000000000000003,A_baseline,3343,659,0.36740008460661716,0.690335224268041
0.22000000000000003,B_pure_ar,3343,659,0.35015877556775254,0.71871709848681
0.22000000000000003,C_enhanced,3343,659,0.358914029075344,0.7044750369500041
0.23000000000000004,A_baseline,3365,637,0.36733348342346767,0.6904474842917886
0.23000000000000004,B_pure_ar,3365,637,0.3505853879348132,0.7180312846649635
0.23000000000000004,C_enhanced,3365,637,0.35552558183643884,0.7100287003768294
0.24000000000000005,A_baseline,3390,612,0.36733870235127875,0.6904386882316278
0.24000000000000005,B_pure_ar,3390,612,0.351082821550563,0.7172305654793085
0.24000000000000005,C_enhanced,3390,612,0.35632945342444267,0.7087159216093668
0.25,A_baseline,3411,591,0.36732514545239237,0.6904615369754981
0.25,B_pure_ar,3411,591,0.35143532496595103,0.7166624531959782
0.25,C_enhanced,3411,591,0.3567569290386739,0.7080166163551238
0.26,A_baseline,3429,573,0.3673188306508116,0.6904721796292782
0.26,B_pure_ar,3429,573,0.3519503317353345,0.7158314173656062
0.26,C_enhanced,3429,573,0.35834314906676074,0.705414399066374
0.27,A_baseline,3447,555,0.36730370490584435,0.6904976710666035
0.27,B_pure_ar,3447,555,0.35230947528943984,0.7152511685229985
0.27,C_enhanced,3447,555,0.3555451710271767,0.7099967450977877
0.28,A_baseline,3474,528,0.36731692601614324,0.6904753895702878
0.28,B_pure_ar,3474,528,0.3534740394348809,0.713365574345658
0.28,C_enhanced,3474,528,0.35589503931596717,0.7094257185601456
0.29000000000000004,A_baseline,3485,517,0.36733265872584714,0.6904488742382437
0.29000000000000004,B_pure_ar,3485,517,0.3539243498870817,0.712634789727606
0.29000000000000004,C_enhanced,3485,517,0.35643662115369906,0.7085406851973002
0.30000000000000004,A_baseline,3509,493,0.36736975351343293,0.6903863515478621
0.30000000000000004,B_pure_ar,3509,493,0.35516114394206016,0.7106228762811634
0.30000000000000004,C_enhanced,3509,493,0.35837045076391927,0.705369509170944
0.31000000000000005,A_baseline,3528,474,0.36735591262630785,0.6904096808872725
0.31000000000000005,B_pure_ar,3528,474,0.3557538303592414,0.7096562559180839
0.31000000000000005,C_enhanced,3528,474,0.35934425544004056,0.703766127169543
